x,y,Ordre
3346057,4954382,6482121
3346057,1528371,6482121
3231470,5933666,6482121
3231470,549087,6482121
6130836,4332436,6482121
6130836,2150317,6482121
3456876,5982937,6482121
3456876,499816,6482121
346842,5863025,6482121
346842,619728,6482121
3594330,588068,6482121
3594330,5894685,6482121
5550269,5447323,6482121
5550269,1035430,6482121
5450088,2706399,6482121
5450088,3776354,6482121
4011912,3024631,6482121
4011912,3458122,6482121
5502351,1810359,6482121
5502351,4672394,6482121
5892836,5200457,6482121
5892836,1282296,6482121
4331326,1605225,6482121
4331326,4877528,6482121
2238718,2788879,6482121
2238718,3693874,6482121
746612,5026746,6482121
746612,1456007,6482121
2905157,5944573,6482121
2905157,538180,6482121
2125048,7465,6482121
2125048,6475288,6482121
1431755,2882365,6482121
1431755,3600388,6482121
1668889,35791,6482121
1668889,6446962,6482121
799753,1124199,6482121
799753,5358554,6482121
5830551,5334589,6482121
5830551,1148164,6482121
4061935,6102319,6482121
4061935,380434,6482121
759339,3388689,6482121
759339,3094064,6482121
5478148,1804599,6482121
5478148,4678154,6482121
5623748,1685835,6482121
5623748,4796918,6482121
4690093,1127397,6482121
4690093,5355356,6482121
4941982,4505795,6482121
4941982,1976958,6482121
2063148,2054067,6482121
2063148,4428686,6482121
1242131,4985875,6482121
1242131,1496878,6482121
822240,4228273,6482121
822240,2254480,6482121
915302,702992,6482121
915302,5779761,6482121
3113289,2890656,6482121
3113289,3592097,6482121
2537550,4312968,6482121
2537550,2169785,6482121
5520677,4859002,6482121
5520677,1623751,6482121
6425074,3180556,6482121
6425074,3302197,6482121
4727708,5457699,6482121
4727708,1025054,6482121
1681830,6310243,6482121
1681830,172510,6482121
843011,2699133,6482121
843011,3783620,6482121
4751484,1016421,6482121
4751484,5466332,6482121
5029303,2541618,6482121
5029303,3941135,6482121
5656606,6052430,6482121
5656606,430323,6482121
3587350,2796206,6482121
3587350,3686547,6482121
5637795,4347916,6482121
5637795,2134837,6482121
5865284,5222372,6482121
5865284,1260381,6482121
684148,5231324,6482121
684148,1251429,6482121
164841,5551189,6482121
164841,931564,6482121
5337774,2725819,6482121
5337774,3756934,6482121
2247899,90339,6482121
2247899,6392414,6482121
3827754,6482162,6482121
3827754,591,6482121
6228704,5213823,6482121
6228704,1268930,6482121
5527579,1122644,6482121
5527579,5360109,6482121
3068010,5480561,6482121
3068010,1002192,6482121
3998061,39038,6482121
3998061,6443715,6482121
5484986,1309054,6482121
5484986,5173699,6482121
4085102,2406503,6482121
4085102,4076250,6482121
4128950,5770106,6482121
4128950,712647,6482121
3318457,1853158,6482121
3318457,4629595,6482121
2880781,4366880,6482121
2880781,2115873,6482121
5969374,1142164,6482121
5969374,5340589,6482121
3135852,4225254,6482121
3135852,2257499,6482121
571121,5614275,6482121
571121,868478,6482121
6185798,5978630,6482121
6185798,504123,6482121
3525014,3544497,6482121
3525014,2938256,6482121
3981638,6140376,6482121
3981638,342377,6482121
2291675,6380055,6482121
2291675,102698,6482121
5495110,1611454,6482121
5495110,4871299,6482121
958820,5311480,6482121
958820,1171273,6482121
6463349,1159547,6482121
6463349,5323206,6482121
503478,109231,6482121
503478,6373522,6482121
1530227,5772304,6482121
1530227,710449,6482121
986746,2375282,6482121
986746,4107471,6482121
5380135,3945485,6482121
5380135,2537268,6482121
2957879,4621354,6482121
2957879,1861399,6482121
1743179,1013365,6482121
1743179,5469388,6482121
5395239,6259707,6482121
5395239,223046,6482121
2201935,3565613,6482121
2201935,2917140,6482121
1980476,2658972,6482121
1980476,3823781,6482121
1142695,5355438,6482121
1142695,1127315,6482121
2299628,2684239,6482121
2299628,3798514,6482121
631009,256513,6482121
631009,6226240,6482121
783023,4204573,6482121
783023,2278180,6482121
2849196,950031,6482121
2849196,5532722,6482121
2052030,630020,6482121
2052030,5852733,6482121
4476123,5970059,6482121
4476123,512694,6482121
913072,3230195,6482121
913072,3252558,6482121
3858601,1829747,6482121
3858601,4653006,6482121
1421964,6241319,6482121
1421964,241434,6482121
4673126,4044662,6482121
4673126,2438091,6482121
915830,5659003,6482121
915830,823750,6482121
988218,6072979,6482121
988218,409774,6482121
750973,1496665,6482121
750973,4986088,6482121
1016671,5273841,6482121
1016671,1208912,6482121
1318558,1568211,6482121
1318558,4914542,6482121
2335842,3762837,6482121
2335842,2719916,6482121
808900,1995485,6482121
808900,4487268,6482121
4973757,974301,6482121
4973757,5508452,6482121
6305603,4673851,6482121
6305603,1808902,6482121
4118160,60865,6482121
4118160,6421888,6482121
2466000,282786,6482121
2466000,6199967,6482121
4076953,1918187,6482121
4076953,4564566,6482121
6322453,5626324,6482121
6322453,856429,6482121
1464272,5560076,6482121
1464272,922677,6482121
3542538,5108719,6482121
3542538,1374034,6482121
4933381,2916963,6482121
4933381,3565790,6482121
4568355,3753494,6482121
4568355,2729259,6482121
4147120,1442607,6482121
4147120,5040146,6482121
3256367,243868,6482121
3256367,6238885,6482121
5806571,900817,6482121
5806571,5581936,6482121
2008394,2259467,6482121
2008394,4223286,6482121
2581804,2245468,6482121
2581804,4237285,6482121
5152903,4113079,6482121
5152903,2369674,6482121
2011062,2793553,6482121
2011062,3689200,6482121
3139075,6444674,6482121
3139075,38079,6482121
5211266,2165436,6482121
5211266,4317317,6482121
2221758,1372625,6482121
2221758,5110128,6482121
3520580,1127198,6482121
3520580,5355555,6482121
1915753,3031639,6482121
1915753,3451114,6482121
4095790,2149999,6482121
4095790,4332754,6482121
2896728,6108024,6482121
2896728,374729,6482121
4807422,3679352,6482121
4807422,2803401,6482121
4994065,4122203,6482121
4994065,2360550,6482121
525704,4451744,6482121
525704,2031009,6482121
1625989,1938294,6482121
1625989,4544459,6482121
1106443,2104468,6482121
1106443,4378285,6482121
121702,5690225,6482121
121702,792528,6482121
1165164,2316969,6482121
1165164,4165784,6482121
144126,4306167,6482121
144126,2176586,6482121
3622155,402437,6482121
3622155,6080316,6482121
5611951,2214179,6482121
5611951,4268574,6482121
4042251,772054,6482121
4042251,5710699,6482121
6317107,1152218,6482121
6317107,5330535,6482121
1366708,5272982,6482121
1366708,1209771,6482121
4945199,5009969,6482121
4945199,1472784,6482121
2354412,1595786,6482121
2354412,4886967,6482121
1952094,1607127,6482121
1952094,4875626,6482121
6039112,1778641,6482121
6039112,4704112,6482121
5064891,593841,6482121
5064891,5888912,6482121
859141,1404875,6482121
859141,5077878,6482121
5854837,1678092,6482121
5854837,4804661,6482121
3513079,918247,6482121
3513079,5564506,6482121
1429215,6242459,6482121
1429215,240294,6482121
266260,4765943,6482121
266260,1716810,6482121
4106155,615817,6482121
4106155,5866936,6482121
914341,3074980,6482121
914341,3407773,6482121
2041216,5682258,6482121
2041216,800495,6482121
498179,143405,6482121
498179,6339348,6482121
3742928,4935739,6482121
3742928,1547014,6482121
4005346,5792511,6482121
4005346,690242,6482121
849766,5616874,6482121
849766,865879,6482121
314579,5290809,6482121
314579,1191944,6482121
6024803,1453360,6482121
6024803,5029393,6482121
242882,656840,6482121
242882,5825913,6482121
4775667,4053320,6482121
4775667,2429433,6482121
1789414,6025339,6482121
1789414,457414,6482121
3610529,4821599,6482121
3610529,1661154,6482121
5313909,2381090,6482121
5313909,4101663,6482121
2773641,405001,6482121
2773641,6077752,6482121
5530735,978689,6482121
5530735,5504064,6482121
5401659,4854063,6482121
5401659,1628690,6482121
5457389,1918114,6482121
5457389,4564639,6482121
3088571,3550631,6482121
3088571,2932122,6482121
2358864,3471851,6482121
2358864,3010902,6482121
4941332,5151442,6482121
4941332,1331311,6482121
6342886,2057290,6482121
6342886,4425463,6482121
2046757,2313942,6482121
2046757,4168811,6482121
2027011,853167,6482121
2027011,5629586,6482121
1981332,1473022,6482121
1981332,5009731,6482121
3692934,726446,6482121
3692934,5756307,6482121
2976027,4688297,6482121
2976027,1794456,6482121
5399124,920337,6482121
5399124,5562416,6482121
1974469,6306104,6482121
1974469,176649,6482121
643538,1655489,6482121
643538,4827264,6482121
4844312,3546012,6482121
4844312,2936741,6482121
6018836,3589824,6482121
6018836,2892929,6482121
4371747,3465794,6482121
4371747,3016959,6482121
4284172,5477125,6482121
4284172,1005628,6482121
6188908,365807,6482121
6188908,6116946,6482121
346248,4330870,6482121
346248,2151883,6482121
1039169,4984076,6482121
1039169,1498677,6482121
5611783,4736546,6482121
5611783,1746207,6482121
3431065,2990514,6482121
3431065,3492239,6482121
3706598,3365535,6482121
3706598,3117218,6482121
2491075,4040763,6482121
2491075,2441990,6482121
5566310,5321206,6482121
5566310,1161547,6482121
4421600,4513742,6482121
4421600,1969011,6482121
3450041,1122295,6482121
3450041,5360458,6482121
870947,1814260,6482121
870947,4668493,6482121
2141984,1391247,6482121
2141984,5091506,6482121
4231333,2414662,6482121
4231333,4068091,6482121
1092396,3217428,6482121
