x,y
82245858,13591983
82245858,73656064
21329903,73293551
21329903,13954496
66735119,27655815
66735119,59592232
15083973,35055264
15083973,52192783
70404370,11507632
70404370,75740415
27557094,83119512
27557094,4128535
11911295,40736112
11911295,46511935
83863539,63357289
83863539,23890758
58283305,29916534
58283305,57331513
33238479,8505125
33238479,78742922
79749946,25490412
79749946,61757635
52651876,66856771
52651876,20391276
29478354,85976264
29478354,1271783
58989323,36389173
58989323,50858874
17241257,27743276
17241257,59504771
29576604,56026553
29576604,31221494
26754403,71731111
26754403,15516936
14225386,13994476
14225386,73253571
69199939,64160304
69199939,23087743
19819413,4531555
19819413,82716492
84824207,18562083
84824207,68685964
17977977,53197493
17977977,34050554
40780523,17187798
40780523,70060249
85367017,67283911
85367017,19964136
30928581,16096461
30928581,71151586
68064555,64058439
68064555,23189608
2769562,73318325
2769562,13929722
16504877,5373067
16504877,81874980
56765180,53256898
56765180,33991149
20724722,58313997
20724722,28934050
11180178,80134140
11180178,7113907
30869483,34125734
30869483,53122313
37569447,78658525
37569447,8589522
41085779,27695388
41085779,59552659
69601245,23306648
69601245,63941399
75976000,32320806
75976000,54927241
19750403,48015237
19750403,39232810
30425168,68581881
30425168,18666166
71823995,16351437
71823995,70896610
64342793,81362162
64342793,5885885
34099801,84636069
34099801,2611978
16081726,25670903
16081726,61577144
81807296,3751882
81807296,83496165
63211600,39381265
63211600,47866782
62529999,31648074
62529999,55599973
81286944,58566593
81286944,28681454
24549588,64265176
24549588,22982871
8541772,81687811
8541772,5560236
18555821,20943099
18555821,66304948
37369875,47971394
37369875,39276653
23373020,26739080
23373020,60508967
52245348,72743202
52245348,14504845
84357347,83426365
84357347,3821682
79160951,4139758
79160951,83108289
62468893,19356700
62468893,67891347
46545993,73689979
46545993,13558068
48477367,49287483
48477367,37960564
55784921,33652804
55784921,53595243
24095950,83653397
24095950,3594650
12554054,10041744
12554054,77206303
50791096,57651138
50791096,29596909
67339228,10277895
67339228,76970152
30065879,51415487
30065879,35832560
65295617,15253370
65295617,71994677
66306843,17342217
66306843,69905830
40047537,7434557
40047537,79813490
23306574,41820096
23306574,45427951
48524520,50695176
48524520,36552871
38666054,85894377
38666054,1353670
86323984,55865314
86323984,31382733
46508860,43510397
46508860,43737650
45789148,72133606
45789148,15114441
72716993,33326774
72716993,53921273
61580191,42354143
61580191,44893904
27543503,8752044
27543503,78496003
4060559,17991476
4060559,69256571
1032821,55551070
1032821,31696977
54097387,49096631
54097387,38151416
85006822,32928798
85006822,54319249
23396594,64864233
23396594,22383814
48288149,39809596
48288149,47438451
66832980,73917910
66832980,13330137
33042098,37498260
33042098,49749787
75316110,46349287
75316110,40898760
39269627,23698704
39269627,63549343
40850206,2933907
40850206,84314140
50150935,29692267
50150935,57555780
37905377,55403400
37905377,31844647
25434457,79627159
25434457,7620888
52059072,24014418
52059072,63233629
84809129,42446941
84809129,44801106
9619567,31732446
9619567,55515601
21922778,30138309
21922778,57109738
14319886,72429097
14319886,14818950
5768458,15913842
5768458,71334205
10168731,69176308
10168731,18071739
23008271,9398335
23008271,77849712
27434303,31956926
27434303,55291121
73256590,71475402
73256590,15772645
53301781,64239350
53301781,23008697
7911329,76522382
7911329,10725665
47338777,67645871
47338777,19602176
40147985,39335505
40147985,47912542
32719951,42139632
32719951,45108415
32174475,28419115
32174475,58828932
37362317,77562914
37362317,9685133
52150446,33950202
52150446,53297845
83855188,11470987
83855188,75777060
65318431,63480345
65318431,23767702
58958584,50875749
58958584,36372298
73687927,31059289
73687927,56188758
46185040,51490699
46185040,35757348
35951213,71425468
35951213,15822579
3023650,71935820
3023650,15312227
87039231,79015081
87039231,8232966
45888222,61073682
45888222,26174365
59877807,39666683
59877807,47581364
58938110,53050608
58938110,34197439
58057028,85933241
58057028,1314806
4454652,21698807
4454652,65549240
51585071,72293351
51585071,14954696
45507106,58848731
45507106,28399316
36001195,83555092
36001195,3692955
53871680,79169626
53871680,8078421
39385116,56866890
39385116,30381157
83034012,27586385
83034012,59661662
80621340,24636249
80621340,62611798
1362078,63000497
1362078,24247550
13472542,41110682
13472542,46137365
20301768,22661941
20301768,64586106
16711208,63704020
16711208,23544027
1640266,13785558
1640266,73462489
58092920,82004456
58092920,5243591
85143031,48092211
85143031,39155836
69960607,33154285
69960607,54093762
62819039,10071152
62819039,77176895
79002815,37891596
79002815,49356451
8080865,17434775
8080865,69813272
61039347,69549022
61039347,17699025
64495586,15374515
64495586,71873532
49659686,28745370
49659686,58502677
15895856,54909453
15895856,32338594
63897990,38934499
63897990,48313548
3283029,36260192
