x,y
1150,869
1150,1524
2249,1916
2249,477
321,2046
321,347
1181,1233
1181,1160
1515,209
1515,2184
1809,803
1809,1590
1630,759
1630,1634
616,121
616,2272
1109,811
1109,1582
1490,1753
1490,640
231,2001
231,392
719,439
719,1954
980,1891
980,502
1685,1759
1685,634
840,2095
840,298
796,641
796,1752
1828,1482
1828,911
955,1258
955,1135
570,1124
570,1269
449,1456
449,937
1839,1352
1839,1041
1367,1201
1367,1192
1063,2391
1063,2
835,478
835,1915
46,624
46,1769
2061,921
2061,1472
1556,786
1556,1607
678,1753
678,640
1857,86
1857,2307
2344,1186
2344,1207
1337,1172
1337,1221
1533,1907
1533,486
2058,310
2058,2083
1231,2234
1231,159
909,1443
909,950
1487,1004
1487,1389
1374,2266
1374,127
843,1348
843,1045
1108,944
1108,1449
605,543
605,1850
2385,1188
2385,1205
36,1994
36,399
1661,1975
1661,418
237,302
237,2091
128,608
128,1785
287,2295
287,98
794,2125
794,268
490,497
490,1896
1062,2266
1062,127
2317,1565
2317,828
386,753
386,1640
244,2351
244,42
169,1120
169,1273
412,415
412,1978
1994,208
1994,2185
117,179
117,2214
2014,1108
2014,1285
2091,1455
2091,938
1920,736
1920,1657
2152,436
2152,1957
1989,257
1989,2136
413,246
413,2147
2284,759
2284,1634
593,55
593,2338
1569,1923
1569,470
1717,1696
1717,697
2221,1044
2221,1349
1131,1456
1131,937
2069,1036
2069,1357
992,1107
992,1286
47,2251
47,142
859,2262
859,131
1471,0
2211,2070
2211,323
399,1543
399,850
2000,1849
2000,544
69,1234
69,1159
646,217
646,2176
1223,810
1223,1583
1770,1864
1770,529
1276,2306
1276,87
880,49
880,2344
1233,2320
1233,73
2095,1
2095,2392
1442,1950
1442,443
1102,1892
1102,501
1623,1637
1623,756
882,1776
882,617
467,585
467,1808
1813,1934
1813,459
381,1141
381,1252
766,771
766,1622
2363,1149
2363,1244
1549,94
1549,2299
668,244
668,2149
1236,1661
1236,732
2370,335
2370,2058
1194,818
1194,1575
705,1058
705,1335
1585,1862
1585,531
612,93
612,2300
1148,2067
1148,326
839,1930
839,463
168,1775
168,618
1279,15
1279,2378
1997,1348
1997,1045
390,1110
390,1283
1852,2195
1852,198
1513,451
1513,1942
523,926
523,1467
690,1042
690,1351
2174,754
2174,1639
1587,420
1587,1973
1100,2289
1100,104
2205,1139
2205,1254
561,773
561,1620
1287,1120
1287,1273
2157,1950
2157,443
1189,743
1189,1650
148,808
148,1585
1264,2145
1264,248
2292,682
2292,1711
1728,1653
1728,740
658,1916
658,477
1784,273
1784,2120
2339,621
2339,1772
1780,1122
1780,1271
1139,977
1139,1416
1294,613
1294,1780
132,1496
132,897
2075,880
2075,1513
2235,1263
2235,1130
1090,1658
1090,735
18,1652
18,741
1793,716
1793,1677
2033,1653
2033,740
2359,582
2359,1811
1743,1464
1743,929
1215,1141
1215,1252
1051,196
1051,2197
275,1218
275,1175
1633,2012
1633,381
1419,1477
1419,916
1763,337
1763,2056
613,68
613,2325
1568,139
1568,2254
1254,2143
1254,250
331,1058
331,1335
818,266
818,2127
1247,1768
1247,625
769,1967
769,426
481,776
481,1617
2255,1464
2255,929
870,661
870,1732
1081,1144
1081,1249
2128,51
2128,2342
872,759
872,1634
487,194
487,2199
1662,767
1662,1626
1361,623
1361,1770
1043,1671
1043,722
19,2192
19,201
1567,1127
1567,1266
707,134
707,2259
1465,2295
1465,98
367,253
367,2140
1652,1316
1652,1077
1953,1022
1953,1371
517,736
517,1657
163,456
163,1937
1802,791
1802,1602
1522,1644
1522,749
967,1145
967,1248
1113,1435
1113,958
1889,1868
1889,525
3,1975
3,418
2122,1705
2122,688
2085,764
2085,1629
451,414
451,1979
289,1656
289,737
1230,1974
1230,419
695,1739
695,654
226,1536
226,857
2107,484
2107,1909
1949,1532
1949,861
1841,135
1841,2258
2071,163
2071,2230
1601,1959
1601,434
631,2005
631,388
1155,1587
1155,806
1197,928
1197,1465
1084,1810
1084,583
2020,237
2020,2156
2042,1352
2042,1041
1001,1231
1001,1162
2139,566
2139,1827
937,1120
937,1273
1097,2103
1097,290
1959,591
1959,1802
1282,391
1282,2002
687,349
687,2044
