x,y,Ordre
82245858,13591983,87255846
82245858,73656064,87255846
21329903,73293551,87255846
21329903,13954496,87255846
66735119,27655815,87255846
66735119,59592232,87255846
15083973,35055264,87255846
15083973,52192783,87255846
70404370,11507632,87255846
70404370,75740415,87255846
27557094,83119512,87255846
27557094,4128535,87255846
11911295,40736112,87255846
11911295,46511935,87255846
83863539,63357289,87255846
83863539,23890758,87255846
58283305,29916534,87255846
58283305,57331513,87255846
33238479,8505125,87255846
33238479,78742922,87255846
79749946,25490412,87255846
79749946,61757635,87255846
52651876,66856771,87255846
52651876,20391276,87255846
29478354,85976264,87255846
29478354,1271783,87255846
58989323,36389173,87255846
58989323,50858874,87255846
17241257,27743276,87255846
17241257,59504771,87255846
29576604,56026553,87255846
29576604,31221494,87255846
26754403,71731111,87255846
26754403,15516936,87255846
14225386,13994476,87255846
14225386,73253571,87255846
69199939,64160304,87255846
69199939,23087743,87255846
19819413,4531555,87255846
19819413,82716492,87255846
84824207,18562083,87255846
84824207,68685964,87255846
17977977,53197493,87255846
17977977,34050554,87255846
40780523,17187798,87255846
40780523,70060249,87255846
85367017,67283911,87255846
85367017,19964136,87255846
30928581,16096461,87255846
30928581,71151586,87255846
68064555,64058439,87255846
68064555,23189608,87255846
2769562,73318325,87255846
2769562,13929722,87255846
16504877,5373067,87255846
16504877,81874980,87255846
56765180,53256898,87255846
56765180,33991149,87255846
20724722,58313997,87255846
20724722,28934050,87255846
11180178,80134140,87255846
11180178,7113907,87255846
30869483,34125734,87255846
30869483,53122313,87255846
37569447,78658525,87255846
37569447,8589522,87255846
41085779,27695388,87255846
41085779,59552659,87255846
69601245,23306648,87255846
69601245,63941399,87255846
75976000,32320806,87255846
75976000,54927241,87255846
19750403,48015237,87255846
19750403,39232810,87255846
30425168,68581881,87255846
30425168,18666166,87255846
71823995,16351437,87255846
71823995,70896610,87255846
64342793,81362162,87255846
64342793,5885885,87255846
34099801,84636069,87255846
34099801,2611978,87255846
16081726,25670903,87255846
16081726,61577144,87255846
81807296,3751882,87255846
81807296,83496165,87255846
63211600,39381265,87255846
63211600,47866782,87255846
62529999,31648074,87255846
62529999,55599973,87255846
81286944,58566593,87255846
81286944,28681454,87255846
24549588,64265176,87255846
24549588,22982871,87255846
8541772,81687811,87255846
8541772,5560236,87255846
18555821,20943099,87255846
18555821,66304948,87255846
37369875,47971394,87255846
37369875,39276653,87255846
23373020,26739080,87255846
23373020,60508967,87255846
52245348,72743202,87255846
52245348,14504845,87255846
84357347,83426365,87255846
84357347,3821682,87255846
79160951,4139758,87255846
79160951,83108289,87255846
62468893,19356700,87255846
62468893,67891347,87255846
46545993,73689979,87255846
46545993,13558068,87255846
48477367,49287483,87255846
48477367,37960564,87255846
55784921,33652804,87255846
55784921,53595243,87255846
24095950,83653397,87255846
24095950,3594650,87255846
12554054,10041744,87255846
12554054,77206303,87255846
50791096,57651138,87255846
50791096,29596909,87255846
67339228,10277895,87255846
67339228,76970152,87255846
30065879,51415487,87255846
30065879,35832560,87255846
65295617,15253370,87255846
65295617,71994677,87255846
66306843,17342217,87255846
66306843,69905830,87255846
40047537,7434557,87255846
40047537,79813490,87255846
23306574,41820096,87255846
23306574,45427951,87255846
48524520,50695176,87255846
48524520,36552871,87255846
38666054,85894377,87255846
38666054,1353670,87255846
86323984,55865314,87255846
86323984,31382733,87255846
46508860,43510397,87255846
46508860,43737650,87255846
45789148,72133606,87255846
45789148,15114441,87255846
72716993,33326774,87255846
72716993,53921273,87255846
61580191,42354143,87255846
61580191,44893904,87255846
27543503,8752044,87255846
27543503,78496003,87255846
4060559,17991476,87255846
4060559,69256571,87255846
1032821,55551070,87255846
1032821,31696977,87255846
54097387,49096631,87255846
54097387,38151416,87255846
85006822,32928798,87255846
85006822,54319249,87255846
23396594,64864233,87255846
23396594,22383814,87255846
48288149,39809596,87255846
48288149,47438451,87255846
66832980,73917910,87255846
66832980,13330137,87255846
33042098,37498260,87255846
33042098,49749787,87255846
75316110,46349287,87255846
75316110,40898760,87255846
39269627,23698704,87255846
39269627,63549343,87255846
40850206,2933907,87255846
40850206,84314140,87255846
50150935,29692267,87255846
50150935,57555780,87255846
37905377,55403400,87255846
37905377,31844647,87255846
25434457,79627159,87255846
25434457,7620888,87255846
52059072,24014418,87255846
52059072,63233629,87255846
84809129,42446941,87255846
84809129,44801106,87255846
9619567,31732446,87255846
9619567,55515601,87255846
21922778,30138309,87255846
21922778,57109738,87255846
14319886,72429097,87255846
14319886,14818950,87255846
5768458,15913842,87255846
5768458,71334205,87255846
10168731,69176308,87255846
10168731,18071739,87255846
23008271,9398335,87255846
23008271,77849712,87255846
27434303,31956926,87255846
27434303,55291121,87255846
73256590,71475402,87255846
73256590,15772645,87255846
53301781,64239350,87255846
53301781,23008697,87255846
7911329,76522382,87255846
7911329,10725665,87255846
47338777,67645871,87255846
47338777,19602176,87255846
40147985,39335505,87255846
40147985,47912542,87255846
32719951,42139632,87255846
32719951,45108415,87255846
32174475,28419115,87255846
32174475,58828932,87255846
37362317,77562914,87255846
37362317,9685133,87255846
52150446,33950202,87255846
52150446,53297845,87255846
83855188,11470987,87255846
83855188,75777060,87255846
65318431,63480345,87255846
65318431,23767702,87255846
58958584,50875749,87255846
58958584,36372298,87255846
73687927,31059289,87255846
73687927,56188758,87255846
46185040,51490699,87255846
46185040,35757348,87255846
35951213,71425468,87255846
35951213,15822579,87255846
3023650,71935820,87255846
3023650,15312227,87255846
87039231,79015081,87255846
87039231,8232966,87255846
45888222,61073682,87255846
45888222,26174365,87255846
59877807,39666683,87255846
59877807,47581364,87255846
58938110,53050608,87255846
58938110,34197439,87255846
58057028,85933241,87255846
58057028,1314806,87255846
4454652,21698807,87255846
4454652,65549240,87255846
51585071,72293351,87255846
51585071,14954696,87255846
45507106,58848731,87255846
45507106,28399316,87255846
36001195,83555092,87255846
36001195,3692955,87255846
53871680,79169626,87255846
53871680,8078421,87255846
39385116,56866890,87255846
39385116,30381157,87255846
83034012,27586385,87255846
83034012,59661662,87255846
80621340,24636249,87255846
80621340,62611798,87255846
1362078,63000497,87255846
1362078,24247550,87255846
