x,y
34747687,78658676
34747687,8590091
5647705,60894827
5647705,26353940
52793587,80695108
52793587,6553659
64574415,46764997
64574415,40483770
50218345,7211255
50218345,80037512
38028289,23583232
38028289,63665535
60953428,18972118
60953428,68276649
44694498,40091022
44694498,47157745
34810111,80801628
34810111,6447139
15418516,3619699
15418516,83629068
11631808,5924356
11631808,81324411
41438583,79163873
41438583,8084894
33389606,12751319
33389606,74497448
76973274,82753929
76973274,4494838
17597792,22783906
17597792,64464861
80300296,12856603
80300296,74392164
39751007,40052178
39751007,47196589
27286912,36275158
27286912,50973609
56695359,43604386
56695359,43644381
47774859,30379210
47774859,56869557
56362549,83421870
56362549,3826897
995282,47152367
995282,40096400
63090637,41471019
63090637,45777748
17210509,63004772
17210509,24243995
50873564,59292305
50873564,27956462
15793269,64269377
15793269,22979390
87101250,67263414
87101250,19985353
35118368,2011216
35118368,85237551
17690377,59352532
17690377,27896235
85711076,26556811
85711076,60691956
83215824,78986189
83215824,8262578
55558270,72172964
55558270,15075803
36090964,61828406
36090964,25420361
37346544,17964776
37346544,69283991
48645266,16058127
48645266,71190640
82000856,62245847
82000856,25002920
27968704,56562733
27968704,30686034
51644006,86647293
51644006,601474
14508163,71503395
14508163,15745372
68270793,2198257
68270793,85050510
10029188,43542204
10029188,43706563
8118258,41911017
8118258,45337750
63933814,63510009
63933814,23738758
72807178,34187203
72807178,53061564
7917612,60774755
7917612,26474012
25540538,47371531
25540538,39877236
3340546,45438215
3340546,41810552
38922683,68610378
38922683,18638389
4146379,20652147
4146379,66596620
15052632,65060187
15052632,22188580
51249985,47679677
51249985,39569090
71650816,31603826
71650816,55644941
35566708,55455270
35566708,31793497
72963065,41739274
72963065,45509493
31646661,643082
31646661,86605685
45469578,82285574
45469578,4963193
24780289,39084437
24780289,48164330
51477173,35287490
51477173,51961277
83914853,62458842
83914853,24789925
32051756,5227437
32051756,82021330
81144371,57639938
81144371,29608829
84016836,36174741
84016836,51074026
55577106,32304383
55577106,54944384
6265751,12311989
6265751,74936778
33031059,78917489
33031059,8331278
49752621,7752043
49752621,79496724
3999680,36646712
3999680,50602055
16904827,67735607
16904827,19513160
86245414,35313170
86245414,51935597
31083379,62203389
31083379,25045378
60845127,49034645
60845127,38214122
20704777,66726027
20704777,20522740
46055454,15059899
46055454,72188868
7410257,61495702
7410257,25753065
56667627,85419182
56667627,1829585
23686808,85141248
23686808,2107519
30944542,57545489
30944542,29703278
76856731,11803808
76856731,75444959
36877767,11123163
36877767,76125604
13180555,27339582
13180555,59909185
57805523,80271098
57805523,6977669
37495874,13470028
37495874,73778739
31971369,12434245
31971369,74814522
29038008,18499047
29038008,68749720
38937887,2875639
38937887,84373128
70709466,7443915
70709466,79804852
84038599,7508826
84038599,79739941
24535053,16107830
24535053,71140937
47986783,54060140
47986783,33188627
8684160,25506261
8684160,61742506
64565074,21515847
64565074,65732920
16936905,21752160
16936905,65496607
30063779,33771473
30063779,53477294
9215849,75577233
9215849,11671534
79484689,7117301
79484689,80131466
4343406,13799247
4343406,73449520
26486138,80938491
26486138,6310276
45764855,34476146
45764855,52772621
4369408,2432673
4369408,84816094
75072105,16176847
75072105,71071920
81379391,51248832
81379391,35999935
28280986,44252242
28280986,42996525
10770370,54233635
10770370,33015132
4838200,13317354
4838200,73931413
58177376,54968998
58177376,32279769
65411968,51601553
65411968,35647214
16041348,85516141
16041348,1732626
6686971,53770690
6686971,33478077
42535937,26486889
42535937,60761878
40625967,29285791
40625967,57962976
75727605,28893262
75727605,58355505
34302220,79373874
34302220,7874893
12748584,54357215
12748584,32891552
12650736,28316655
12650736,58932112
52305993,15882543
52305993,71366224
69811978,80612560
69811978,6636207
44933651,58912453
44933651,28336314
11485281,55710167
11485281,31538600
15041153,44008875
15041153,43239892
78220059,13724247
78220059,73524520
46751425,61835723
46751425,25413044
80506006,18527695
80506006,68721072
34884434,23891761
34884434,63357006
64904955,5759621
64904955,81489146
16417094,69371089
16417094,17877678
12579637,38765541
12579637,48483226
1139169,54664228
1139169,32584539
41695738,79065838
41695738,8182929
64903942,56852343
64903942,30396424
6664375,37936863
6664375,49311904
47508329,40513798
47508329,46734969
17326270,10599640
17326270,76649127
2989555,63614478
2989555,23634289
325392,32498191
325392,54750576
51877888,9438713
51877888,77810054
43824093,52451285
43824093,34797482
36755066,65691803
36755066,21556964
78214289,65218512
78214289,22030255
1531552,16338189
1531552,70910578
38546753,43136959
38546753,44111808
64276045,41518736
64276045,45730031
14853126,80121750
14853126,7127017
55649331,49427707
55649331,37821060
22311111,23533760
22311111,63715007
23262192,83988887
23262192,3259880
28056358,80871988
28056358,6376779
30080116,24796992
30080116,62451775
20411343,31265618
20411343,55983149
52580212,42851745
52580212,44397022
31343707,22139591
31343707,65109176
29946668,29318081
29946668,57930686
31978375,48871221
31978375,38377546
74865430,52584096
74865430,34664671
8400810,17562856
8400810,69685911
60062883,58225169
60062883,29023598
62136656,33517842
62136656,53730925
43516185,79041532
43516185,8207235
26739659,45717206
26739659,41531561
43362023,70835444
43362023,16413323
57289906,32521918
57289906,54726849
24976981,41460250
24976981,45788517
29671031,5854855
29671031,81393912
72722836,61612795
72722836,25635972
66879252,81710575
66879252,5538192
19992688,45200942
19992688,42047825
14163297,69461456
14163297,17787311
19230369,1899859
19230369,85348908
18834436,52426570
18834436,34822197
41038653,67292302
41038653,19956465
12733417,45507670
12733417,41741097
75233416,82842012
75233416,4406755
20012994,13175192
20012994,74073575
74782987,33705576
74782987,53543191
3495370,68703320
3495370,18545447
28550506,19868903
28550506,67379864
83763071,480484
83763071,86768283
64688831,28656403
64688831,58592364
20075126,27166440
20075126,60082327
33882066,80559533
33882066,6689234
18313358,7345758
18313358,79903009
47972952,49998793
47972952,37249974
77412115,72082080
77412115,15166687
26850231,32747147
26850231,54501620
7456800,2088415
7456800,85160352
5732893,37979621
5732893,49269146
72320762,41033428
72320762,46215339
17339692,52184450
17339692,35064317
24282682,24468939
24282682,62779828
56906547,7763695
56906547,79485072
85821548,60043472
85821548,27205295
86518841,30080909
86518841,57167858
36131686,41236948
36131686,46011819
25388848,49445392
25388848,37803375
77816923,44447174
77816923,42801593
67015012,87208349
67015012,40418
67483674,64943170
67483674,22305597
3747810,14797140
3747810,72451627
22488140,30030751
22488140,57218016
13183399,14737281
13183399,72511486
38233124,55061575
38233124,32187192
11725574,38193788
11725574,49054979
42853487,80551969
42853487,6696798
40045437,2725956
40045437,84522811
22130846,37503993
22130846,49744774
13091087,62607292
13091087,24641475
7813527,80875112
7813527,6373655
70549562,68191147
70549562,19057620
49505222,36935135
49505222,50313632
72230131,77162038
72230131,10086729
35123764,77877540
35123764,9371227
5093380,1251923
5093380,85996844
52957815,86910482
52957815,338285
15384429,31572245
15384429,55676522
33906092,55725282
33906092,31523485
52501424,62815033
52501424,24433734
10976528,63618674
10976528,23630093
7030515,57307622
7030515,29941145
64377303,383053
64377303,86865714
39444622,10005671
39444622,77243096
44267827,10268769
44267827,76979998
11448843,17663650
11448843,69585117
66999035,18078283
66999035,69170484
36768141,4646989
36768141,82601778
41295958,70191810
41295958,17056957
9670819,26634910
9670819,60613857
52286109,44178541
52286109,43070226
48634520,11985777
48634520,75262990
59373694,75642559
59373694,11606208
20212255,39071320
20212255,48177447
76753511,2549761
76753511,84699006
45752396,74559119
45752396,12689648
86441791,58308574
86441791,28940193
33415942,25883228
33415942,61365539
71312207,79298353
71312207,7950414
30274515,21133146
30274515,66115621
18116631,27701704
18116631,59547063
70416556,22215474
70416556,65033293
15154484,66093783
15154484,21154984
74910723,77883746
74910723,9365021
9960544,39690583
9960544,47558184
69066384,68491633
69066384,18757134
17988461,81639021
17988461,5609746
59765647,52847828
59765647,34400939
64429755,71979070
64429755,15269697
2121629,17889427
2121629,69359340
26205873,86206807
26205873,1041960
56138551,51902934
56138551,35345833
50114329,86798104
50114329,450663
53541055,73728958
53541055,13519809
61042459,40572272
61042459,46676495
33516764,51931197
33516764,35317570
10692560,43512293
10692560,43736474
21125834,72735069
21125834,14513698
19965475,10210310
19965475,77038457
42167865,85706824
42167865,1541943
32871425,48429081
32871425,38819686
11966912,39888905
11966912,47359862
52188027,78658004
52188027,8590763
33076514,44707545
33076514,42541222
63972150,83666010
63972150,3582757
74221736,53051112
74221736,34197655
18310314,65178124
18310314,22070643
12286789,11068962
12286789,76179805
73087271,31801971
73087271,55446796
36432257,4546936
36432257,82701831
12021837,51980002
12021837,35268765
86454425,26997065
86454425,60251702
6970031,49724873
6970031,37523894
25950075,58981817
25950075,28266950
40660070,25636077
40660070,61612690
80537203,81756367
80537203,5492400
84125369,50694110
84125369,36554657
36134863,21549938
36134863,65698829
58514587,43806058
58514587,43442709
76843662,47289691
76843662,39959076
35378471,3554205
35378471,83694562
77316151,57598114
77316151,29650653
34517409,62973238
34517409,24275529
70722337,67166198
70722337,20082569
87004318,65054249
87004318,22194518
40230294,76267937
40230294,10980830
78798498,36336815
78798498,50911952
37091623,10939654
37091623,76309113
5290273,10672412
5290273,76576355
7233028,76959281
7233028,10289486
36227425,15650007
36227425,71598760
56616656,61989280
56616656,25259487
49924748,55981130
49924748,31267637
79985932,30187105
79985932,57061662
13142496,83177256
13142496,4071511
79583472,33525420
79583472,53723347
180928,66521278
180928,20727489
14034711,393761
14034711,86855006
79003447,47255599
79003447,39993168
29952238,85651108
29952238,1597659
49783829,59972988
49783829,27275779
38377120,74521072
38377120,12727695
77902392,12830063
77902392,74418704
47376289,69943472
47376289,17305295
55525478,54696108
55525478,32552659
18869697,43427279
18869697,43821488
66216814,33100627
66216814,54148140
55260602,59392208
55260602,27856559
77968704,961659
77968704,86287108
25837939,16779288
25837939,70469479
59712970,37304551
59712970,49944216
45043631,28806282
45043631,58442485
22820006,30470146
22820006,56778621
74806120,22421002
74806120,64827765
64188073,39141906
64188073,48106861
85626859,67691581
85626859,19557186
19897343,9014283
19897343,78234484
37463852,78805431
37463852,8443336
46184850,29647550
46184850,57601217
4564738,82978154
4564738,4270613
55091652,76314515
55091652,10934252
68896454,62791415
68896454,24457352
45578128,31207060
45578128,56041707
12891101,27199700
12891101,60049067
86964619,71030293
86964619,16218474
46985850,8708681
46985850,78540086
20026255,63859598
20026255,23389169
74719041,65339469
74719041,21909298
16312823,32735454
16312823,54513313
35000038,86578291
35000038,670476
1558688,11467407
1558688,75781360
74663555,37716004
74663555,49532763
61562596,18020743
61562596,69228024
13146176,57430834
13146176,29817933
82419817,48919570
82419817,38329197
64348562,65503446
64348562,21745321
248188,9575003
248188,77673764
6372737,73216023
6372737,14032744
66612836,11013072
66612836,76235695
54684248,26153911
54684248,61094856
6300757,10950232
6300757,76298535
82975472,54336034
82975472,32912733
73437247,28857409
73437247,58391358
73702296,47945399
73702296,39303368
84328347,34802453
84328347,52446314
52964401,53337733
52964401,33911034
45216666,76126347
45216666,11122420
64213139,31528148
64213139,55720619
31402412,86137393
31402412,1111374
49340025,3690114
49340025,83558653
5572184,7327512
5572184,79921255
11817417,80383946
11817417,6864821
25254591,73086238
25254591,14162529
61671100,810215
61671100,86438552
62515959,10614241
62515959,76634526
14241894,50304316
14241894,36944451
6768082,73390697
6768082,13858070
44576668,30441044
44576668,56807723
61847908,28839188
61847908,58409579
14225293,65011500
14225293,22237267
77079311,41053099
77079311,46195668
84432255,77915691
84432255,9333076
76413496,18011379
76413496,69237388
39558390,58037700
39558390,29211067
66556168,50673887
66556168,36574880
7237926,69885125
7237926,17363642
21460211,53160205
21460211,34088562
36245475,32148483
36245475,55100284
68997947,26668111
68997947,60580656
58322255,6441708
58322255,80807059
27771324,57949524
27771324,29299243
57208172,60173570
57208172,27075197
39420587,57266254
39420587,29982513
22858081,44862416
22858081,42386351
32506715,85075652
32506715,2173115
83918418,70676587
83918418,16572180
37798427,40151013
37798427,47097754
26215166,72877929
26215166,14370838
63462148,28950604
63462148,58298163
11400346,87018826
11400346,229941
42935920,75446844
42935920,11801923
84618341,5840736
84618341,81408031
3234539,45015949
3234539,42232818
20807728,37238469
20807728,50010298
58397708,55005426
58397708,32243341
86421275,22347427
86421275,64901340
62375802,5297138
62375802,81951629
66534075,43123527
66534075,44125240
43973629,14399753
43973629,72849014
58885165,83148780
58885165,4099987
43097669,8163882
43097669,79084885
4351145,7499261
4351145,79749506
39161030,82643043
39161030,4605724
66084191,72857223
66084191,14391544
15392621,27770645
15392621,59478122
9981682,18045696
9981682,69203071
21069264,56368634
21069264,30880133
21216248,75685806
21216248,11562961
63613538,3077453
63613538,84171314
80387735,22204346
80387735,65044421
85058908,77365423
85058908,9883344
71625718,4486880
