x,y,Ordre
23346,41015,25038
23346,8978,25038
41761,9048,2782
41761,40945,2782
10925,42667,50076
10925,7326,50076
48180,34785,50076
48180,15208,50076
30328,5433,50076
30328,44560,50076
31810,15568,50076
31810,34425,50076
43714,9733,50076
43714,40260,50076
5653,17943,50076
5653,32050,50076
40284,40448,963
40284,9545,963
46175,28673,50076
46175,21320,50076
49648,2796,5564
49648,47197,5564
27083,30611,50076
27083,19382,50076
10045,45439,5564
10045,4554,5564
32316,16762,50076
32316,33231,50076
25435,33840,8346
25435,16153,8346
17238,906,25038
17238,49087,25038
36407,41872,16692
36407,8121,16692
46519,12632,5564
46519,37361,5564
12724,6817,50076
12724,43176,50076
6059,34976,8346
6059,15017,8346
3295,20651,1284
3295,29342,1284
8745,47051,50076
8745,2942,50076
42324,14077,50076
42324,35916,50076
43758,9896,5564
43758,40097,5564
23035,40731,50076
23035,9262,50076
16149,10278,8346
16149,39715,8346
43906,10631,16692
43906,39362,16692
35224,40187,50076
35224,9806,50076
47851,5500,50076
47851,44493,50076
7888,2963,50076
7888,47030,50076
38493,17676,50076
38493,32317,50076
5484,141,8346
5484,49852,8346
19534,42365,50076
19534,7628,50076
27177,36739,12519
27177,13254,12519
8422,12844,5564
8422,37149,5564
31006,11054,2782
31006,38939,2782
13263,39834,4173
13263,10159,4173
1301,38199,16692
1301,11794,16692
925,38432,50076
925,11561,50076
1556,33112,50076
1556,16881,50076
42447,4525,12519
42447,45468,12519
22809,7949,8346
22809,42044,8346
13633,17071,4173
13633,32922,4173
15970,21860,50076
15970,28133,50076
21439,27611,25038
21439,22382,25038
9693,33055,5564
9693,16938,5564
31142,41550,963
31142,8443,963
42918,5421,3852
42918,44572,3852
4960,1477,1926
4960,48516,1926
45761,18360,50076
45761,31633,50076
289,12251,5564
289,37742,5564
2852,33292,12519
2852,16701,12519
45192,17558,5564
45192,32435,5564
37854,41250,50076
37854,8743,50076
37501,43903,26
37501,6090,26
43224,22145,50076
43224,27848,50076
37888,41712,5564
37888,8281,5564
423,39956,2782
423,10037,2782
47338,4209,16692
47338,45784,16692
13388,38459,963
13388,11534,963
24444,18698,50076
24444,31295,50076
3652,10869,1391
3652,39124,1391
11342,22686,50076
11342,27307,50076
27224,42872,50076
27224,7121,50076
23004,43843,25038
23004,6150,25038
34820,2620,1391
34820,47373,1391
49986,36321,1391
49986,13672,1391
19698,30964,50076
19698,19029,50076
8969,41675,16692
8969,8318,16692
1908,4267,1391
1908,45726,1391
32904,22475,16692
32904,27518,16692
12017,1565,25038
12017,48428,25038
28772,133,12519
28772,49860,12519
4557,28636,16692
4557,21357,16692
20459,28409,12519
20459,21584,12519
13783,7522,4173
13783,42471,4173
40379,32513,642
40379,17480,642
47653,1398,5564
47653,48595,5564
44540,12015,5564
44540,37978,5564
181,44065,16692
181,5928,16692
22541,18422,50076
22541,31571,50076
46075,20631,3852
46075,29362,3852
5821,893,16692
5821,49100,16692
34771,33417,12519
34771,16576,12519
44822,3333,4173
44822,46660,4173
34057,37501,16692
34057,12492,16692
8015,40944,50076
8015,9049,50076
16568,13349,25038
16568,36644,25038
9150,17593,4173
9150,32400,4173
31188,18441,4173
31188,31552,4173
3368,33581,16692
3368,16412,16692
28681,48577,12
28681,1416,12
44765,43022,25038
44765,6971,25038
34565,14266,1926
34565,35727,1926
22447,27982,12519
22447,22011,12519
9514,9166,16692
9514,40827,16692
33676,3721,50076
33676,46272,50076
41548,16139,50076
41548,33854,50076
17969,9203,16692
17969,40790,16692
20109,16515,50076
20109,33478,50076
10601,10493,4173
10601,39500,4173
3442,48167,8346
3442,1826,8346
37859,15513,8346
37859,34480,8346
16405,2662,50076
16405,47331,50076
48724,46604,50076
48724,3389,50076
28526,42227,2782
28526,7766,2782
36929,45528,4173
36929,4465,4173
687,15411,4173
687,34582,4173
16071,35001,8346
16071,14992,8346
31419,26154,12519
31419,23839,12519
252,12744,25038
252,37249,25038
8925,41375,3852
8925,8618,3852
22250,44410,4173
22250,5583,4173
36249,2548,12519
36249,47445,12519
43250,4423,12
43250,45570,12
