x,y
10925,42667
10925,7326
48180,34785
48180,15208
30328,5433
30328,44560
31810,15568
31810,34425
43714,9733
43714,40260
5653,17943
5653,32050
46175,28673
46175,21320
27083,30611
27083,19382
32316,16762
32316,33231
12724,6817
12724,43176
8745,47051
8745,2942
42324,14077
42324,35916
23035,40731
23035,9262
35224,40187
35224,9806
47851,5500
47851,44493
7888,2963
7888,47030
38493,17676
38493,32317
19534,42365
19534,7628
925,38432
925,11561
1556,33112
1556,16881
15970,21860
15970,28133
45761,18360
45761,31633
37854,41250
37854,8743
43224,22145
43224,27848
24444,18698
24444,31295
11342,22686
11342,27307
27224,42872
27224,7121
19698,30964
19698,19029
22541,18422
22541,31571
8015,40944
8015,9049
33676,3721
33676,46272
41548,16139
41548,33854
20109,16515
20109,33478
16405,2662
16405,47331
48724,46604
48724,3389
34371,41531
34371,8462
9681,15466
9681,34527
40706,22442
40706,27551
47400,46889
47400,3104
31628,30148
31628,19845
32966,41587
32966,8406
39691,1867
39691,48126
21189,26073
21189,23920
2923,32924
2923,17069
34198,13184
34198,36809
26581,7433
26581,42560
32836,9663
32836,40330
41310,19379
41310,30614
11695,21276
11695,28717
44103,48132
44103,1861
35587,40519
35587,9474
36383,5347
36383,44646
26498,17178
26498,32815
33686,36001
33686,13992
45770,34637
45770,15356
44198,40903
44198,9090
4752,19482
4752,30511
47821,25785
47821,24208
18698,8272
18698,41721
4670,13393
4670,36600
6683,3820
6683,46173
8754,49391
8754,602
48590,13206
48590,36787
25703,38032
25703,11961
23493,3418
23493,46575
48637,8267
48637,41726
18170,47723
18170,2270
36725,8285
36725,41708
44842,30225
44842,19768
11393,26633
11393,23360
27024,39433
27024,10560
19895,10822
19895,39171
19357,24973
19357,25020
11805,17824
11805,32169
27602,36694
27602,13299
24667,18204
24667,31789
10905,22412
10905,27581
15921,43707
15921,6286
46917,23115
46917,26878
25596,47202
25596,2791
13259,31275
13259,18718
28650,19394
28650,30599
10046,4915
10046,45078
39629,20394
39629,29599
13314,38097
13314,11896
33761,9646
33761,40347
1488,23752
1488,26241
8017,16965
8017,33028
28063,25441
28063,24552
4105,49987
4105,6
4601,39950
4601,10043
30532,47760
30532,2233
25738,12401
25738,37592
21068,41346
21068,8647
3534,33496
3534,16497
15607,28937
15607,21056
4111,44678
4111,5315
27595,47026
27595,2967
34899,39968
34899,10025
19081,18107
19081,31886
34394,46921
34394,3072
3053,47991
3053,2002
30079,3384
30079,46609
40071,16187
40071,33806
30089,44667
30089,5326
20883,10871
20883,39122
30277,41271
30277,8722
32581,47244
32581,2749
37543,28860
37543,21133
8958,34610
8958,15383
35632,11676
35632,38317
30723,46556
30723,3437
18656,30213
18656,19780
36665,28639
36665,21354
48478,8484
48478,41509
23415,42242
23415,7751
26228,3822
26228,46171
14720,40509
14720,9484
38077,2289
38077,47704
16698,31249
16698,18744
15174,7681
15174,42312
8223,44219
8223,5774
34897,41864
34897,8129
16716,25446
16716,24547
17729,22703
17729,27290
3764,36403
3764,13590
48707,13029
48707,36964
49025,8663
49025,41330
13401,18479
13401,31514
26699,42752
26699,7241
20832,32605
20832,17388
25323,42308
25323,7685
18249,31588
18249,18405
48811,29499
48811,20494
18886,16071
18886,33922
45982,24763
45982,25230
36148,39496
36148,10497
42521,37520
42521,12473
30198,5625
30198,44368
37975,6909
37975,43084
26366,21226
26366,28767
5951,33651
5951,16342
34739,23058
34739,26935
48856,26534
48856,23459
28471,1049
28471,48944
8343,7153
8343,42840
46814,22700
46814,27293
46570,42882
46570,7111
28884,623
28884,49370
33246,24790
33246,25203
13983,30502
13983,19491
10765,6109
10765,43884
38657,17773
38657,32220
37998,15696
37998,34297
26936,32150
26936,17843
39017,9956
39017,40037
334,19261
334,30732
29436,8730
29436,41263
11827,10667
11827,39326
32597,34593
32597,15400
19542,44617
19542,5376
47476,8376
47476,41617
7402,13833
7402,36160
20100,13966
20100,36027
14419,49772
14419,221
11753,37318
11753,12675
7716,388
7716,49605
42098,13056
42098,36937
1948,24526
1948,25467
6251,33960
6251,16033
18234,2290
18234,47703
10317,14578
10317,35415
33704,29308
33704,20685
21218,48450
21218,1543
1082,13286
1082,36707
12479,11498
12479,38495
45860,39859
45860,10134
33371,49290
33371,703
9133,13762
9133,36231
7621,39513
7621,10480
27596,41209
27596,8784
28242,47505
28242,2488
24961,47707
24961,2286
34350,22203
34350,27790
36074,36907
36074,13086
729,27210
729,22783
36105,31539
36105,18454
42090,36184
42090,13809
46444,39453
46444,10540
681,20643
681,29350
24174,24530
24174,25463
6345,49393
6345,600
34952,13122
34952,36871
46886,39456
46886,10537
13930,10845
13930,39148
19812,39432
19812,10561
16471,7395
16471,42598
10631,23284
10631,26709
22768,41301
22768,8692
43321,18956
43321,31037
24683,48254
24683,1739
45843,19467
45843,30526
27528,16390
27528,33603
47777,49196
47777,797
42982,49717
42982,276
9156,32327
9156,17666
47299,8234
47299,41759
36284,13470
36284,36523
13225,15408
13225,34585
46028,33352
46028,16641
10853,2173
10853,47820
26141,26145
26141,23848
10803,32545
10803,17448
6893,30824
6893,19169
17143,34606
17143,15387
23654,9527
23654,40466
28214,39797
28214,10196
21315,36547
21315,13446
21622,41073
21622,8920
24445,24471
24445,25522
1292,7350
1292,42643
12462,28580
12462,21413
41413,10382
41413,39611
46733,49631
46733,362
31055,40165
31055,9828
11914,19179
11914,30814
37393,49204
37393,789
42455,38933
42455,11060
17098,27211
17098,22782
21810,29128
21810,20865
23028,38787
23028,11206
19578,32986
19578,17007
48317,44533
48317,5460
27636,43619
27636,6374
20472,9108
20472,40885
1857,41099
1857,8894
507,46178
507,3815
31195,44659
31195,5334
31649,46247
31649,3746
45891,6854
45891,43139
24804,22510
24804,27483
37858,16392
37858,33601
7887,21562
7887,28431
4565,24086
4565,25907
26987,29043
26987,20950
4717,21991
4717,28002
1299,37840
1299,12153
31726,45763
31726,4230
14009,37964
14009,12029
29915,33086
29915,16907
36908,8893
36908,41100
28392,25692
28392,24301
6080,20857
6080,29136
43425,3699
43425,46294
38208,5689
38208,44304
23657,4411
23657,45582
39313,49759
39313,234
34048,10878
34048,39115
22497,48380
22497,1613
26896,49222
26896,771
42283,41425
42283,8568
2024,20588
2024,29405
19717,10971
19717,39022
29786,15804
29786,34189
40194,32336
40194,17657
32787,19745
32787,30248
14515,23286
14515,26707
27916,45280
27916,4713
10124,42574
10124,7419
9242,30688
9242,19305
30392,48389
30392,1604
7575,38361
7575,11632
21295,17353
21295,32640
30717,38697
30717,11296
997,42460
997,7533
39305,16722
39305,33271
32189,49889
32189,104
25548,42113
25548,7880
35068,5950
35068,44043
39999,45740
39999,4253
14004,13732
14004,36261
12932,2629
12932,47364
13691,30300
13691,19693
43380,23749
43380,26244
4536,12763
4536,37230
14300,32010
14300,17983
36218,22086
36218,27907
34547,35263
34547,14730
26253,37203
26253,12790
25637,45872
25637,4121
14543,38807
14543,11186
24797,6368
24797,43625
39209,12107
39209,37886
14991,7080
14991,42913
42773,9498
42773,40495
22866,24080
22866,25913
48518,16187
48518,33806
46215,42478
46215,7515
39562,21899
39562,28094
11347,18123
11347,31870
4457,338
4457,49655
7086,328
7086,49665
36999,9382
36999,40611
37712,20158
37712,29835
21572,3243
21572,46750
1243,3841
1243,46152
38453,22361
38453,27632
37518,13121
37518,36872
11162,16550
11162,33443
35222,31289
35222,18704
12776,49865
12776,128
6587,2571
6587,47422
5077,37885
5077,12108
19433,12310
19433,37683
30318,27731
30318,22262
9122,44561
9122,5432
14747,17178
14747,32815
29129,20522
29129,29471
19088,39345
19088,10648
21082,30747
21082,19246
14144,36557
14144,13436
8919,29817
8919,20176
34890,1658
34890,48335
47583,21569
47583,28424
18627,8747
18627,41246
45889,8160
45889,41833
34581,22622
34581,27371
47719,25936
47719,24057
46037,31523
46037,18470
28084,19097
28084,30896
29408,32959
29408,17034
24578,222
24578,49771
35527,9301
35527,40692
1956,15398
1956,34595
39977,45450
39977,4543
30839,17865
30839,32128
37644,11800
37644,38193
21531,8127
21531,41866
26593,11912
26593,38081
39539,22032
39539,27961
34947,21035
34947,28958
22831,48115
22831,1878
18294,49920
18294,73
27445,26948
27445,23045
35790,11812
35790,38181
1538,14711
1538,35282
18866,18442
18866,31551
46401,43111
46401,6882
33946,48409
33946,1584
27594,15755
27594,34238
15931,37077
15931,12916
6367,23346
6367,26647
4464,27694
4464,22299
44779,36005
44779,13988
4088,5979
4088,44014
11005,30623
11005,19370
33706,2620
33706,47373
665,2899
665,47094
28597,21042
28597,28951
43207,33791
43207,16202
17570,21116
17570,28877
12059,4170
12059,45823
17474,16587
17474,33406
13274,5515
13274,44478
15106,18782
15106,31211
8344,27910
8344,22083
3670,32098
3670,17895
23737,49735
23737,258
15695,11081
15695,38912
43537,21585
43537,28408
14874,13343
14874,36650
14138,17717
14138,32276
580,37931
580,12062
13918,29125
13918,20868
6248,44362
6248,5631
38995,30623
38995,19370
18365,8476
18365,41517
22672,8689
22672,41304
8329,39363
8329,10630
42318,54
42318,49939
36211,8924
36211,41069
44890,31882
44890,18111
40289,41641
40289,8352
40751,35092
40751,14901
9891,44230
9891,5763
40889,42422
40889,7571
32001,36583
32001,13410
29289,22803
29289,27190
41815,10367
41815,39626
39944,40316
39944,9677
30758,23335
30758,26658
23606,11154
23606,38839
37768,13478
37768,36515
42679,30524
42679,19469
12901,38974
12901,11019
15621,9723
15621,40270
43001,42959
43001,7034
1372,10288
1372,39705
48245,2728
48245,47265
39986,35784
39986,14209
19893,36284
19893,13709
46198,47665
46198,2328
6923,5165
6923,44828
6233,22289
6233,27704
31945,3497
31945,46496
20895,8986
20895,41007
6075,33705
6075,16288
38245,31274
38245,18719
35786,18597
35786,31396
22681,6305
22681,43688
2716,26720
2716,23273
83,10678
83,39315
4910,25880
4910,24113
29933,19598
29933,30395
2341,22982
2341,27011
31966,881
31966,49112
33225,28691
33225,21302
4005,16622
4005,33371
30697,19824
30697,30169
26467,36876
26467,13117
10341,10342
10341,39651
14646,4021
14646,45972
49954,29059
49954,20934
28608,11307
28608,38686
33890,13471
33890,36522
8529,21567
8529,28426
22076,33733
22076,16260
3696,11286
3696,38707
18652,6753
18652,43240
48258,31266
48258,18727
8205,17787
8205,32206
6856,15378
6856,34615
14525,48383
14525,1610
21443,45434
21443,4559
929,28073
929,21920
35271,44300
35271,5693
43724,25459
43724,24534
14339,18674
14339,31319
13537,5651
13537,44342
32649,46032
32649,3961
1077,21336
1077,28657
6121,31890
6121,18103
5550,3657
5550,46336
1510,18090
1510,31903
7661,5554
7661,44439
5699,9616
5699,40377
384,12217
384,37776
47080,2037
47080,47956
49720,10885
49720,39108
46888,48724
46888,1269
43770,30033
43770,19960
26707,18000
26707,31993
36523,14343
36523,35650
19272,8265
19272,41728
32733,20607
32733,29386
4692,6495
4692,43498
3363,18284
3363,31709
35380,23039
35380,26954
23997,27944
23997,22049
27194,36756
27194,13237
