x,y,Ordre
20320,10694,4173
20320,39299,4173
7163,21499,2782
7163,28494,2782
24309,28443,50076
24309,21550,50076
42840,26335,12519
42840,23658,12519
15934,3226,25038
15934,46767,25038
31108,10803,12519
31108,39190,12519
4494,39296,50076
4494,10697,50076
5081,47043,50076
5081,2950,50076
39780,33188,12519
39780,16805,12519
14076,17576,3852
14076,32417,3852
15311,21744,1926
15311,28249,1926
36071,44291,50076
36071,5702,50076
39913,11358,12519
39913,38635,12519
10069,33105,50076
10069,16888,50076
30604,43458,156
30604,6535,156
38901,5850,50076
38901,44143,50076
12343,7103,3852
12343,42890,3852
21023,42694,25038
21023,7299,25038
16230,17955,12519
16230,32038,12519
10497,24189,50076
10497,25804,50076
32886,43162,50076
32886,6831,50076
16860,43329,16692
16860,6664,16692
6772,2780,50076
6772,47213,50076
43859,17216,50076
43859,32777,50076
9719,20492,2782
9719,29501,2782
34574,1367,16692
34574,48626,16692
30451,28443,12519
30451,21550,12519
38958,40446,8346
38958,9547,8346
40662,1828,16692
40662,48165,16692
37034,17436,12519
37034,32557,12519
1250,18498,963
1250,31495,963
29786,15804,50076
29786,34189,50076
32064,44772,5564
32064,5221,5564
27205,16855,50076
27205,33138,50076
39241,722,12519
39241,49271,12519
28834,45437,5564
28834,4556,5564
2732,35019,50076
2732,14974,50076
31579,10322,25038
31579,39671,25038
23972,35478,214
23972,14515,214
12592,47165,50076
12592,2828,50076
41451,20857,50076
41451,29136,50076
14921,28919,50076
14921,21074,50076
17833,41409,12519
17833,8584,12519
19119,40304,4173
19119,9689,4173
2888,33276,8346
2888,16717,8346
32376,20641,1926
32376,29352,1926
11437,38483,50076
11437,11510,50076
17612,41081,12519
17612,8912,12519
20632,17961,16692
20632,32032,16692
44397,45937,4173
44397,4056,4173
9409,31959,50076
9409,18034,50076
31145,19747,3852
31145,30246,3852
10921,31994,12519
10921,17999,12519
27402,39723,16692
27402,10270,16692
4566,35332,25038
4566,14661,25038
26918,20821,12519
26918,29172,12519
36328,11165,3852
36328,38828,3852
31213,40949,25038
31213,9044,25038
41159,44770,5564
41159,5223,5564
22303,22538,25038
22303,27455,25038
31638,17420,3852
31638,32573,3852
17823,19189,50076
17823,30804,50076
44931,27166,3852
44931,22827,3852
46845,40487,50076
46845,9506,50076
45210,30472,25038
45210,19521,25038
14781,46665,50076
14781,3328,50076
22249,15861,12519
22249,34132,12519
12516,37887,25038
12516,12106,25038
49622,23162,50076
49622,26831,50076
18089,7878,5564
18089,42115,5564
16743,26922,2782
16743,23071,2782
27499,11288,25038
27499,38705,25038
9664,34847,25038
9664,15146,25038
44282,35416,50076
44282,14577,50076
15473,5212,50076
15473,44781,50076
25532,23153,25038
25532,26840,25038
26728,30707,16692
26728,19286,16692
45972,38949,16692
45972,11044,16692
41386,21629,642
41386,28364,642
38539,19866,50076
38539,30127,50076
40993,46006,50076
40993,3987,50076
44448,34760,12519
44448,15233,12519
44363,20049,50076
44363,29944,50076
49310,25194,12519
49310,24799,12519
37245,17618,12519
37245,32375,12519
43166,45883,50076
43166,4110,50076
49879,48367,1284
49879,1626,1284
34057,37501,16692
34057,12492,16692
302,2798,25038
302,47195,25038
19731,34164,12519
19731,15829,12519
3821,30549,25038
3821,19444,25038
303,45104,12519
303,4889,12519
39982,28270,25038
39982,21723,25038
10296,48449,50076
10296,1544,50076
9903,9241,3852
9903,40752,3852
37688,44282,50076
37688,5711,50076
12805,19475,1391
12805,30518,1391
45357,16646,50076
45357,33347,50076
7495,48640,50076
7495,1353,50076
18729,39384,3852
18729,10609,3852
37391,26316,25038
37391,23677,25038
4379,24904,50076
4379,25089,50076
6483,11823,50076
6483,38170,50076
13195,49514,25038
13195,479,25038
25879,22650,50076
25879,27343,50076
4140,24577,3852
4140,25416,3852
18746,12240,16692
18746,37753,16692
40623,26407,12519
40623,23586,12519
41187,34600,963
41187,15393,963
20499,19965,1284
20499,30028,1284
18402,8113,8346
18402,41880,8346
17311,33946,25038
17311,16047,25038
4946,1832,50076
4946,48161,50076
37828,25459,25038
37828,24534,25038
22325,1927,16692
22325,48066,16692
20917,12401,25038
20917,37592,25038
14564,17074,50076
14564,32919,50076
32031,42148,16692
32031,7845,16692
14518,49391,16692
14518,602,16692
11935,12224,5564
11935,37769,5564
46912,1078,16692
46912,48915,16692
29256,47209,16692
29256,2784,16692
23312,30968,25038
23312,19025,25038
21753,42816,25038
21753,7177,25038
6401,44921,3852
6401,5072,3852
42521,37520,50076
42521,12473,50076
13825,31819,50076
13825,18174,50076
5140,39966,50076
5140,10027,50076
48903,36536,12519
48903,13457,12519
36188,29198,25038
36188,20795,25038
11415,14747,12519
11415,35246,12519
8679,19465,50076
8679,30528,50076
19480,9958,1391
19480,40035,1391
14578,646,12519
14578,49347,12519
9048,19123,12519
9048,30870,12519
29151,41748,25038
29151,8245,25038
8504,15959,25038
8504,34034,25038
19105,16882,2782
19105,33111,2782
9161,18031,16692
9161,31962,16692
46843,37021,50076
46843,12972,50076
36813,39572,12519
36813,10421,12519
25747,15696,50076
25747,34297,50076
31594,2192,25038
31594,47801,25038
5452,48459,12519
5452,1534,12519
13650,22361,16692
13650,27632,16692
6016,42019,25038
6016,7974,25038
43912,15457,8346
43912,34536,8346
38319,39616,4173
38319,10377,4173
15990,43561,25038
15990,6432,25038
14574,18213,234
14574,31780,234
18400,12056,50076
18400,37937,50076
1134,388,50076
1134,49605,50076
41391,5632,5564
41391,44361,5564
39287,31232,25038
39287,18761,25038
47098,21495,16692
47098,28498,16692
49903,35120,1926
49903,14873,1926
11382,46369,4173
11382,3624,4173
28116,45861,50076
28116,4132,50076
15866,39537,50076
15866,10456,50076
2741,26555,16692
2741,23438,16692
13075,48140,50076
13075,1853,50076
20200,14750,12519
20200,35243,12519
40873,29076,50076
40873,20917,50076
32853,18382,25038
32853,31611,25038
43458,39384,1926
43458,10609,1926
3014,34571,16692
3014,15422,16692
3190,24582,12519
3190,25411,12519
32182,25622,12519
32182,24371,12519
45874,32412,3852
45874,17581,3852
34997,11681,13
34997,38312,13
21211,23575,5564
21211,26418,5564
24966,25202,50076
24966,24791,50076
29053,876,12519
29053,49117,12519
4118,5863,25038
4118,44130,25038
26675,25212,4173
26675,24781,4173
13553,37681,16692
13553,12312,16692
8367,8849,50076
8367,41144,50076
10530,31310,16692
10530,18683,16692
33164,37317,50076
33164,12676,50076
4430,30311,468
4430,19682,468
32362,33645,50076
32362,16348,50076
36461,28132,25038
36461,21861,25038
19192,40804,25038
19192,9189,25038
16376,37623,25038
16376,12370,25038
30328,5433,50076
30328,44560,50076
21829,32049,3852
21829,17944,3852
48090,24989,50076
48090,25004,50076
9685,25282,4173
9685,24711,4173
39922,904,12519
39922,49089,12519
30808,24657,25038
30808,25336,25038
26691,15542,50076
26691,34451,50076
44086,15441,50076
44086,34552,50076
22136,18926,25038
22136,31067,25038
37807,22280,16692
37807,27713,16692
4397,13674,12519
4397,36319,12519
22671,34260,50076
22671,15733,50076
31726,45763,50076
31726,4230,50076
10464,1152,25038
10464,48841,25038
18187,15988,16692
18187,34005,16692
20894,30888,8346
20894,19105,8346
42762,4614,12519
42762,45379,12519
38993,20792,25038
38993,29201,25038
4233,31480,107
4233,18513,107
21303,31215,5564
21303,18778,5564
20573,2471,50076
20573,47522,50076
30734,35821,321
30734,14172,321
10943,31705,12519
10943,18288,12519
25396,25176,25038
25396,24817,25038
25189,16300,321
25189,33693,321
4644,16751,12519
4644,33242,12519
14733,25539,2782
14733,24454,2782
41117,24411,1391
41117,25582,1391
17726,35702,16692
17726,14291,16692
32776,4927,25038
32776,45066,25038
34660,41769,50076
34660,8224,50076
34785,744,25038
34785,49249,25038
23541,48183,25038
23541,1810,25038
15561,22523,5564
15561,27470,5564
29854,28686,50076
29854,21307,50076
12560,21801,12519
12560,28192,12519
26687,36638,50076
26687,13355,50076
17600,20417,16692
17600,29576,16692
2601,3610,50076
2601,46383,50076
29304,39643,5564
29304,10350,5564
49033,14888,25038
